label,path
4,croped\Ag0_0_0_0_0.png
4,croped\Ag10_0_0_0_0.png
0,croped\Ag1001_0_0_0_0.png
5,croped\Ag1002_0_0_0_0.png
6,croped\Ag1003_0_0_0_0.png
6,croped\Ag1004_0_0_0_0.png
3,croped\Ag1005_0_0_0_0.png
3,croped\Ag1006_0_0_0_0.png
4,croped\Ag1007_0_0_0_0.png
3,croped\Ag1008_0_0_0_0.png
3,croped\Ag1009_0_0_0_0.png
3,croped\Ag101_0_0_0_0.png
1,croped\Ag1011_0_0_0_0.png
1,croped\Ag1013_0_0_0_0.png
1,croped\Ag1014_0_0_0_0.png
1,croped\Ag1015_0_0_0_0.png
1,croped\Ag1016_0_0_0_0.png
1,croped\Ag1017_0_0_0_0.png
1,croped\Ag1019_0_0_0_0.png
4,croped\Ag102_0_0_0_0.png
1,croped\Ag1020_0_0_0_0.png
1,croped\Ag1025_0_0_0_0.png
1,croped\Ag1026_0_0_0_0.png
1,croped\Ag1027_0_0_0_0.png
1,croped\Ag1028_0_0_0_0.png
1,croped\Ag1029_0_0_0_0.png
3,croped\Ag103_0_0_0_0.png
1,croped\Ag1030_0_0_0_0.png
1,croped\Ag1034_0_0_0_0.png
1,croped\Ag1036_0_0_0_0.png
1,croped\Ag1038_0_0_0_0.png
1,croped\Ag1039_0_0_0_0.png
3,croped\Ag104_0_0_0_0.png
1,croped\Ag1040_0_0_0_0.png
1,croped\Ag1041_0_0_0_0.png
1,croped\Ag1042_0_0_0_0.png
1,croped\Ag1043_0_0_0_0.png
1,croped\Ag1044_0_0_0_0.png
1,croped\Ag1045_0_0_0_0.png
1,croped\Ag1046_0_0_0_0.png
1,croped\Ag1047_0_0_0_0.png
1,croped\Ag1048_0_0_0_0.png
1,croped\Ag1049_0_0_0_0.png
4,croped\Ag105_0_0_0_0.png
1,croped\Ag1050_0_0_0_0.png
1,croped\Ag1051_0_0_0_0.png
1,croped\Ag1052_0_0_0_0.png
1,croped\Ag1053_0_0_0_0.png
1,croped\Ag1057_0_0_0_0.png
1,croped\Ag1058_0_0_0_0.png
1,croped\Ag1059_0_0_0_0.png
4,croped\Ag106_0_0_0_0.png
1,croped\Ag1060_0_0_0_0.png
1,croped\Ag1061_0_0_0_0.png
1,croped\Ag1062_0_0_0_0.png
1,croped\Ag1063_0_0_0_0.png
1,croped\Ag1066_0_0_0_0.png
1,croped\Ag1067_0_0_0_0.png
1,croped\Ag1068_0_0_0_0.png
1,croped\Ag1069_0_0_0_0.png
1,croped\Ag1070_0_0_0_0.png
1,croped\Ag1073_0_0_0_0.png
1,croped\Ag1074_0_0_0_0.png
1,croped\Ag1075_0_0_0_0.png
1,croped\Ag1078_0_0_0_0.png
1,croped\Ag1079_0_0_0_0.png
4,croped\Ag108_0_0_0_0.png
1,croped\Ag1080_0_0_0_0.png
1,croped\Ag1081_0_0_0_0.png
1,croped\Ag1082_0_0_0_0.png
1,croped\Ag1083_0_0_0_0.png
1,croped\Ag1084_0_0_0_0.png
1,croped\Ag1085_0_0_0_0.png
1,croped\Ag1086_0_0_0_0.png
1,croped\Ag1088_0_0_0_0.png
1,croped\Ag1089_0_0_0_0.png
4,croped\Ag109_0_0_0_0.png
1,croped\Ag1090_0_0_0_0.png
1,croped\Ag1091_0_0_0_0.png
1,croped\Ag1092_0_0_0_0.png
1,croped\Ag1094_0_0_0_0.png
1,croped\Ag1095_0_0_0_0.png
1,croped\Ag1096_0_0_0_0.png
1,croped\Ag1097_0_0_0_0.png
1,croped\Ag1098_0_0_0_0.png
1,croped\Ag1099_0_0_0_0.png
3,croped\Ag11_0_0_0_0.png
1,croped\Ag1100_0_0_0_0.png
1,croped\Ag1102_0_0_0_0.png
1,croped\Ag1103_0_0_0_0.png
1,croped\Ag1104_0_0_0_0.png
1,croped\Ag1105_0_0_0_0.png
1,croped\Ag1108_0_0_0_0.png
1,croped\Ag1109_0_0_0_0.png
1,croped\Ag1111_0_0_0_0.png
1,croped\Ag1112_0_0_0_0.png
1,croped\Ag1113_0_0_0_0.png
1,croped\Ag1114_0_0_0_0.png
1,croped\Ag1116_0_0_0_0.png
1,croped\Ag1117_0_0_0_0.png
1,croped\Ag1119_0_0_0_0.png
0,croped\Ag112_0_0_0_0.png
1,croped\Ag1121_0_0_0_0.png
1,croped\Ag1122_0_0_0_0.png
1,croped\Ag1124_0_0_0_0.png
1,croped\Ag1126_0_0_0_0.png
1,croped\Ag1127_0_0_0_0.png
1,croped\Ag1128_0_0_0_0.png
1,croped\Ag1129_0_0_0_0.png
1,croped\Ag1130_0_0_0_0.png
1,croped\Ag1131_0_0_0_0.png
1,croped\Ag1132_0_0_0_0.png
1,croped\Ag1133_0_0_0_0.png
1,croped\Ag1135_0_0_0_0.png
1,croped\Ag1136_0_0_0_0.png
1,croped\Ag1138_0_0_0_0.png
0,croped\Ag114_0_0_0_0.png
1,croped\Ag1140_0_0_0_0.png
1,croped\Ag1141_0_0_0_0.png
1,croped\Ag1142_0_0_0_0.png
1,croped\Ag1145_0_0_0_0.png
1,croped\Ag1146_0_0_0_0.png
